TRACT_ID,Week (Thur-Wed),Date for start of week,Date for end of week,Weekly Case Count
22005030204,1,2/27/2020,3/4/2020,0
22005030205,1,2/27/2020,3/4/2020,0
22005030500,1,2/27/2020,3/4/2020,0
22033000100,1,2/27/2020,3/4/2020,0
22033000200,1,2/27/2020,3/4/2020,0
22033000300,1,2/27/2020,3/4/2020,0
22033000400,1,2/27/2020,3/4/2020,0
22033000500,1,2/27/2020,3/4/2020,0
22033000601,1,2/27/2020,3/4/2020,0
22033000602,1,2/27/2020,3/4/2020,0
22033000701,1,2/27/2020,3/4/2020,0
22033000702,1,2/27/2020,3/4/2020,0
22033000900,1,2/27/2020,3/4/2020,0
22033001000,1,2/27/2020,3/4/2020,0
22033001102,1,2/27/2020,3/4/2020,0
22033001103,1,2/27/2020,3/4/2020,0
22033001104,1,2/27/2020,3/4/2020,0
22033001600,1,2/27/2020,3/4/2020,0
22033001700,1,2/27/2020,3/4/2020,0
22033001800,1,2/27/2020,3/4/2020,0
22033001900,1,2/27/2020,3/4/2020,0
22033002000,1,2/27/2020,3/4/2020,0
22033002200,1,2/27/2020,3/4/2020,0
22033002300,1,2/27/2020,3/4/2020,0
22033002400,1,2/27/2020,3/4/2020,0
22033002500,1,2/27/2020,3/4/2020,0
22033002601,1,2/27/2020,3/4/2020,0
22033002602,1,2/27/2020,3/4/2020,0
22033002700,1,2/27/2020,3/4/2020,0
22033002801,1,2/27/2020,3/4/2020,0
22033002802,1,2/27/2020,3/4/2020,0
22033003000,1,2/27/2020,3/4/2020,0
22033003101,1,2/27/2020,3/4/2020,0
22033003103,1,2/27/2020,3/4/2020,0
22033003201,1,2/27/2020,3/4/2020,0
22033003202,1,2/27/2020,3/4/2020,0
22033003300,1,2/27/2020,3/4/2020,0
22033003400,1,2/27/2020,3/4/2020,0
22033003501,1,2/27/2020,3/4/2020,0
22033003504,1,2/27/2020,3/4/2020,0
22033003505,1,2/27/2020,3/4/2020,0
22033003506,1,2/27/2020,3/4/2020,0
22033003507,1,2/27/2020,3/4/2020,0
22033003601,1,2/27/2020,3/4/2020,0
22033003603,1,2/27/2020,3/4/2020,0
22033003604,1,2/27/2020,3/4/2020,0
22033003701,1,2/27/2020,3/4/2020,0
22033003702,1,2/27/2020,3/4/2020,0
22033003703,1,2/27/2020,3/4/2020,0
22033003801,1,2/27/2020,3/4/2020,0
22033003802,1,2/27/2020,3/4/2020,0
22033003804,1,2/27/2020,3/4/2020,0
22033003805,1,2/27/2020,3/4/2020,0
22033003904,1,2/27/2020,3/4/2020,0
22033003906,1,2/27/2020,3/4/2020,0
22033003907,1,2/27/2020,3/4/2020,0
22033003908,1,2/27/2020,3/4/2020,0
22033003909,1,2/27/2020,3/4/2020,0
22033003910,1,2/27/2020,3/4/2020,0
22033004005,1,2/27/2020,3/4/2020,0
22033004006,1,2/27/2020,3/4/2020,0
22033004009,1,2/27/2020,3/4/2020,0
22033004011,1,2/27/2020,3/4/2020,0
22033004013,1,2/27/2020,3/4/2020,0
22033004014,1,2/27/2020,3/4/2020,0
22033004015,1,2/27/2020,3/4/2020,0
22033004016,1,2/27/2020,3/4/2020,0
22033004201,1,2/27/2020,3/4/2020,0
22033004203,1,2/27/2020,3/4/2020,0
22033004204,1,2/27/2020,3/4/2020,0
22033004205,1,2/27/2020,3/4/2020,0
22033004301,1,2/27/2020,3/4/2020,0
22033004401,1,2/27/2020,3/4/2020,0
22033004403,1,2/27/2020,3/4/2020,0
22033004503,1,2/27/2020,3/4/2020,0
22033004504,1,2/27/2020,3/4/2020,0
22033004505,1,2/27/2020,3/4/2020,0
22033004507,1,2/27/2020,3/4/2020,0
22033004508,1,2/27/2020,3/4/2020,0
22033004604,1,2/27/2020,3/4/2020,0
22033004800,1,2/27/2020,3/4/2020,0
22033004900,1,2/27/2020,3/4/2020,0
22033005000,1,2/27/2020,3/4/2020,0
22033005100,1,2/27/2020,3/4/2020,0
22033005200,1,2/27/2020,3/4/2020,0
22033005300,1,2/27/2020,3/4/2020,0
22037951502,1,2/27/2020,3/4/2020,0
22063040301,1,2/27/2020,3/4/2020,0
22063040303,1,2/27/2020,3/4/2020,0
22063040600,1,2/27/2020,3/4/2020,0
22121020200,1,2/27/2020,3/4/2020,0
22121020300,1,2/27/2020,3/4/2020,0
22005030204,2,3/5/2020,3/11/2020,0
22005030205,2,3/5/2020,3/11/2020,0
22005030500,2,3/5/2020,3/11/2020,0
22033000100,2,3/5/2020,3/11/2020,0
22033000200,2,3/5/2020,3/11/2020,0
22033000300,2,3/5/2020,3/11/2020,0
22033000400,2,3/5/2020,3/11/2020,0
22033000500,2,3/5/2020,3/11/2020,0
22033000601,2,3/5/2020,3/11/2020,0
22033000602,2,3/5/2020,3/11/2020,0
22033000701,2,3/5/2020,3/11/2020,0
22033000702,2,3/5/2020,3/11/2020,0
22033000900,2,3/5/2020,3/11/2020,0
22033001000,2,3/5/2020,3/11/2020,0
22033001102,2,3/5/2020,3/11/2020,0
22033001103,2,3/5/2020,3/11/2020,0
22033001104,2,3/5/2020,3/11/2020,0
22033001600,2,3/5/2020,3/11/2020,0
22033001700,2,3/5/2020,3/11/2020,0
22033001800,2,3/5/2020,3/11/2020,0
22033001900,2,3/5/2020,3/11/2020,0
22033002000,2,3/5/2020,3/11/2020,0
22033002200,2,3/5/2020,3/11/2020,0
22033002300,2,3/5/2020,3/11/2020,0
22033002400,2,3/5/2020,3/11/2020,0
22033002500,2,3/5/2020,3/11/2020,0
22033002601,2,3/5/2020,3/11/2020,0
22033002602,2,3/5/2020,3/11/2020,0
22033002700,2,3/5/2020,3/11/2020,0
22033002801,2,3/5/2020,3/11/2020,0
22033002802,2,3/5/2020,3/11/2020,0
22033003000,2,3/5/2020,3/11/2020,0
22033003101,2,3/5/2020,3/11/2020,0
22033003103,2,3/5/2020,3/11/2020,0
22033003201,2,3/5/2020,3/11/2020,0
22033003202,2,3/5/2020,3/11/2020,0
22033003300,2,3/5/2020,3/11/2020,0
22033003400,2,3/5/2020,3/11/2020,0
22033003501,2,3/5/2020,3/11/2020,0
22033003504,2,3/5/2020,3/11/2020,0
22033003505,2,3/5/2020,3/11/2020,0
22033003506,2,3/5/2020,3/11/2020,0
22033003507,2,3/5/2020,3/11/2020,0
22033003601,2,3/5/2020,3/11/2020,0
22033003603,2,3/5/2020,3/11/2020,0
22033003604,2,3/5/2020,3/11/2020,0
22033003701,2,3/5/2020,3/11/2020,0
22033003702,2,3/5/2020,3/11/2020,0
22033003703,2,3/5/2020,3/11/2020,0
