DATE,TYPE,TRACT_ID
1/1/2018,ASSAULT,22033004503
1/1/2018,ASSAULT,22033001000
1/1/2018,ASSAULT,22033003604
1/1/2018,ASSAULT,22033001700
1/1/2018,ASSAULT,22033003701
1/1/2018,ASSAULT,22033003801
1/1/2018,ASSAULT,22033003604
1/1/2018,ASSAULT,22033005100
1/1/2018,ASSAULT,22033001600
1/1/2018,ASSAULT,22033005100
1/1/2018,ASSAULT,22033004503
1/1/2018,ASSAULT,22033005100
1/1/2018,ASSAULT,22033003907
1/1/2018,ASSAULT,22033003604
1/1/2018,ASSAULT,22033003506
1/1/2018,THEFT,22033000702
1/1/2018,THEFT,22033003701
1/1/2018,THEFT,22033003701
1/1/2018,THEFT,22033004013
1/1/2018,THEFT,22033002700
1/1/2018,THEFT,22033004009
1/1/2018,THEFT,22033003703
1/1/2018,THEFT,22033002500
1/1/2018,THEFT,22033003601
1/1/2018,THEFT,22033005100
1/1/2018,THEFT,22033003505
1/1/2018,THEFT,22033000400
1/1/2018,THEFT,22033002700
1/1/2018,THEFT,22033002500
1/1/2018,THEFT,22033001600
1/1/2018,THEFT,22033004009
1/1/2018,THEFT,22033003400
1/1/2018,THEFT,22033003604
1/1/2018,THEFT,22033003604
1/1/2018,THEFT,22033001102
1/1/2018,THEFT,22033003908
1/1/2018,THEFT,22033001900
1/1/2018,THEFT,22033003703
1/1/2018,THEFT,22033004009
1/1/2018,THEFT,22033002700
1/1/2018,THEFT,22033004900
1/1/2018,THEFT,22033002602
1/1/2018,THEFT,22033003201
1/1/2018,THEFT,22033003400
1/1/2018,THEFT,22033004900
1/1/2018,THEFT,22033001700
1/1/2018,THEFT,22033005100
1/1/2018,THEFT,22033004013
1/1/2018,THEFT,22033003505
1/1/2018,THEFT,22033002300
1/1/2018,THEFT,22033003701
1/1/2018,THEFT,22033003904
1/1/2018,VEHICLE BURGLARY,22033003601
1/1/2018,RESIDENTIAL BURGLARY,22033003701
1/1/2018,NON-RESIDENTIAL BURGLARY,22033001600
1/1/2018,NON-RESIDENTIAL BURGLARY,22033003400
1/1/2018,NON-RESIDENTIAL BURGLARY,22033003601
1/1/2018,NON-RESIDENTIAL BURGLARY,22033002500
1/1/2018,NON-RESIDENTIAL BURGLARY,22033000200
1/1/2018,NON-RESIDENTIAL BURGLARY,22033001102
1/1/2018,NON-RESIDENTIAL BURGLARY,22033003601
1/1/2018,NON-RESIDENTIAL BURGLARY,22033003604
1/1/2018,NON-RESIDENTIAL BURGLARY,22033001102
1/1/2018,INDIVIDUAL ROBBERY,22033003505
1/1/2018,INDIVIDUAL ROBBERY,22033005100
1/2/2018,ASSAULT,22033000900
1/2/2018,ASSAULT,22033000701
1/2/2018,ASSAULT,22033001700
1/2/2018,ASSAULT,22033005300
1/2/2018,ASSAULT,22033000900
1/2/2018,ASSAULT,22033000100
1/2/2018,ASSAULT,22033003910
1/2/2018,ASSAULT,22033000701
1/2/2018,ASSAULT,22033000701
1/2/2018,ASSAULT,22033001000
1/2/2018,ASSAULT,22033003400
1/2/2018,ASSAULT,22033005200
1/2/2018,ASSAULT,22033001000
1/2/2018,ASSAULT,22033001000
1/2/2018,THEFT,22033003300
1/2/2018,THEFT,22033005100
1/2/2018,THEFT,22033002601
1/2/2018,THEFT,22033000400
1/2/2018,THEFT,22033003505
1/2/2018,THEFT,22033000200
1/2/2018,THEFT,22033000702
1/2/2018,THEFT,22033003907
1/2/2018,THEFT,22033002602
1/2/2018,THEFT,22033004505
1/2/2018,THEFT,22033003505
1/2/2018,THEFT,22033000200
1/2/2018,THEFT,22033003603
1/2/2018,THEFT,22033003505
1/2/2018,THEFT,22033000100
1/2/2018,THEFT,22033003909
1/2/2018,THEFT,22033003909
1/2/2018,THEFT,22033001700
1/2/2018,THEFT,22033003300
1/2/2018,THEFT,22033003300
1/2/2018,THEFT,22033003703
1/2/2018,THEFT,22033004009
1/2/2018,THEFT,22033002500
1/2/2018,THEFT,22033003604
1/2/2018,THEFT,22033001102
1/2/2018,THEFT,22033005300
1/2/2018,THEFT,22033004009
1/2/2018,THEFT,22033005300
1/2/2018,THEFT,22033003201
1/2/2018,THEFT,22033005300
1/2/2018,THEFT,22033004009
1/2/2018,THEFT,22033000400
1/2/2018,THEFT,22033003604
1/2/2018,THEFT,22033003701
1/2/2018,VEHICLE BURGLARY,22033004800
1/2/2018,VEHICLE BURGLARY,22033003400
1/2/2018,VEHICLE BURGLARY,22033003703
1/2/2018,VEHICLE BURGLARY,22033004014
1/2/2018,VEHICLE BURGLARY,22033004011
1/2/2018,VEHICLE BURGLARY,22033004013
1/2/2018,RESIDENTIAL BURGLARY,22033000100
1/2/2018,RESIDENTIAL BURGLARY,22033002000
1/2/2018,RESIDENTIAL BURGLARY,22033002602
1/2/2018,RESIDENTIAL BURGLARY,22033005200
1/2/2018,NON-RESIDENTIAL BURGLARY,22033003300
1/2/2018,INDIVIDUAL ROBBERY,22033000900
1/2/2018,INDIVIDUAL ROBBERY,22033003601
1/3/2018,ASSAULT,22033001600
1/3/2018,ASSAULT,22033003400
1/3/2018,ASSAULT,22033003909
1/3/2018,ASSAULT,22033003000
1/3/2018,ASSAULT,22033005300
1/3/2018,ASSAULT,22033001800
1/3/2018,ASSAULT,22033003400
1/3/2018,ASSAULT,22033005300
1/3/2018,ASSAULT,22033000400
1/3/2018,ASSAULT,22033000601
1/3/2018,ASSAULT,22033005300
1/3/2018,THEFT,22033002601
1/3/2018,THEFT,22033002601
1/3/2018,THEFT,22033004900
1/3/2018,THEFT,22033000400
1/3/2018,THEFT,22033002601
1/3/2018,THEFT,22033005200
1/3/2018,THEFT,22033004013
1/3/2018,THEFT,22033004009
1/3/2018,THEFT,22033000100
1/3/2018,THEFT,22033004009
1/3/2018,THEFT,22033003601
1/3/2018,THEFT,22033003201
1/3/2018,THEFT,22033003201
1/3/2018,THEFT,22033003601
1/3/2018,THEFT,22033000900
1/3/2018,THEFT,22033000601
1/3/2018,THEFT,22033003703
1/3/2018,THEFT,22033005200
1/3/2018,THEFT,22033001000
1/3/2018,THEFT,22033003910
1/3/2018,THEFT,22033005100
1/3/2018,THEFT,22033003601
