TRACT_ID,Week (Thur-Wed),Date for start of week,Date for end of week,Weekly Case Count
22071000100,1,2/27/2020,3/4/2020,0
22071000200,1,2/27/2020,3/4/2020,0
22071000300,1,2/27/2020,3/4/2020,0
22071000400,1,2/27/2020,3/4/2020,0
22071000601,1,2/27/2020,3/4/2020,0
22071000602,1,2/27/2020,3/4/2020,0
22071000603,1,2/27/2020,3/4/2020,0
22071000604,1,2/27/2020,3/4/2020,0
22071000605,1,2/27/2020,3/4/2020,0
22071000606,1,2/27/2020,3/4/2020,0
22071000607,1,2/27/2020,3/4/2020,0
22071000611,1,2/27/2020,3/4/2020,0
22071000612,1,2/27/2020,3/4/2020,0
22071000613,1,2/27/2020,3/4/2020,0
22071000615,1,2/27/2020,3/4/2020,0
22071000616,1,2/27/2020,3/4/2020,0
22071000617,1,2/27/2020,3/4/2020,0
22071000618,1,2/27/2020,3/4/2020,0
22071000701,1,2/27/2020,3/4/2020,0
22071000702,1,2/27/2020,3/4/2020,0
22071000800,1,2/27/2020,3/4/2020,0
22071000901,1,2/27/2020,3/4/2020,0
22071000904,1,2/27/2020,3/4/2020,0
22071001100,1,2/27/2020,3/4/2020,0
22071001200,1,2/27/2020,3/4/2020,0
22071001301,1,2/27/2020,3/4/2020,0
22071001302,1,2/27/2020,3/4/2020,0
22071001401,1,2/27/2020,3/4/2020,0
22071001402,1,2/27/2020,3/4/2020,0
22071001500,1,2/27/2020,3/4/2020,0
22071001701,1,2/27/2020,3/4/2020,0
22071001702,1,2/27/2020,3/4/2020,0
22071001720,1,2/27/2020,3/4/2020,0
22071001722,1,2/27/2020,3/4/2020,0
22071001723,1,2/27/2020,3/4/2020,0
22071001724,1,2/27/2020,3/4/2020,0
22071001725,1,2/27/2020,3/4/2020,0
22071001730,1,2/27/2020,3/4/2020,0
22071001734,1,2/27/2020,3/4/2020,0
22071001735,1,2/27/2020,3/4/2020,0
22071001736,1,2/27/2020,3/4/2020,0
22071001737,1,2/27/2020,3/4/2020,0
22071001739,1,2/27/2020,3/4/2020,0
22071001740,1,2/27/2020,3/4/2020,0
22071001741,1,2/27/2020,3/4/2020,0
22071001743,1,2/27/2020,3/4/2020,0
22071001744,1,2/27/2020,3/4/2020,0
22071001745,1,2/27/2020,3/4/2020,0
22071001746,1,2/27/2020,3/4/2020,0
22071001747,1,2/27/2020,3/4/2020,0
22071001748,1,2/27/2020,3/4/2020,0
22071001749,1,2/27/2020,3/4/2020,0
22071001750,1,2/27/2020,3/4/2020,0
22071001800,1,2/27/2020,3/4/2020,0
22071001900,1,2/27/2020,3/4/2020,0
22071002000,1,2/27/2020,3/4/2020,0
22071002100,1,2/27/2020,3/4/2020,0
22071002200,1,2/27/2020,3/4/2020,0
22071002300,1,2/27/2020,3/4/2020,0
22071002401,1,2/27/2020,3/4/2020,0
22071002402,1,2/27/2020,3/4/2020,0
22071002501,1,2/27/2020,3/4/2020,0
22071002502,1,2/27/2020,3/4/2020,0
22071002503,1,2/27/2020,3/4/2020,0
22071002504,1,2/27/2020,3/4/2020,0
22071002600,1,2/27/2020,3/4/2020,0
22071002700,1,2/27/2020,3/4/2020,0
22071002800,1,2/27/2020,3/4/2020,0
22071002900,1,2/27/2020,3/4/2020,0
22071003000,1,2/27/2020,3/4/2020,0
22071003100,1,2/27/2020,3/4/2020,0
22071003301,1,2/27/2020,3/4/2020,0
22071003302,1,2/27/2020,3/4/2020,0
22071003303,1,2/27/2020,3/4/2020,0
22071003304,1,2/27/2020,3/4/2020,0
22071003307,1,2/27/2020,3/4/2020,0
22071003308,1,2/27/2020,3/4/2020,0
